Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
CHK: delay(0 0), type(tWHA), from(timdiv1.C ), to(timdiv1.C )
CHK: delay(200 200), type(tH), from(timdiv1.D ), to(timdiv1.C )
CHK: delay(200 200), type(tS_PT), from(timdiv1.D ), to(timdiv1.C )
MOD: delay(45 45), type(tCOi), from(timdiv2.C ), to(timdiv2.Q )
CHK: delay(0 0), type(tWLA), from(timdiv2.C ), to(timdiv2.C )
CHK: delay(0 0), type(tWHA), from(timdiv2.C ), to(timdiv2.C )
CHK: delay(200 200), type(tH), from(timdiv2.D ), to(timdiv2.C )
CHK: delay(200 200), type(tS_PT), from(timdiv2.D ), to(timdiv2.C )
MOD: delay(95 95), type(tSRi), from(X0.AP ), to(X0.Q )
MOD: delay(45 45), type(tCOi), from(X0.C ), to(X0.Q )
CHK: delay(0 0), type(tSRW), from(X0.AP ), to(X0.AP )
CHK: delay(180 180), type(tSRR), from(X0.AP ), to(X0.C )
CHK: delay(0 0), type(tWLA), from(X0.C ), to(X0.C )
CHK: delay(0 0), type(tWHA), from(X0.C ), to(X0.C )
CHK: delay(200 200), type(tH), from(X0.D.X2 ), to(X0.C )
CHK: delay(200 200), type(tS_PT), from(X0.D.X2 ), to(X0.C )
CHK: delay(200 200), type(tH), from(X0.D.X1 ), to(X0.C )
CHK: delay(200 200), type(tS_PT), from(X0.D.X1 ), to(X0.C )
MOD: delay(95 95), type(tSRi), from(X1.AP ), to(X1.Q )
MOD: delay(45 45), type(tCOi), from(X1.C ), to(X1.Q )
CHK: delay(0 0), type(tSRW), from(X1.AP ), to(X1.AP )
CHK: delay(180 180), type(tSRR), from(X1.AP ), to(X1.C )
CHK: delay(0 0), type(tWLA), from(X1.C ), to(X1.C )
CHK: delay(0 0), type(tWHA), from(X1.C ), to(X1.C )
CHK: delay(200 200), type(tH), from(X1.D ), to(X1.C )
CHK: delay(200 200), type(tS_PT), from(X1.D ), to(X1.C )
MOD: delay(95 95), type(tSRi), from(X2.AP ), to(X2.Q )
MOD: delay(45 45), type(tCOi), from(X2.C ), to(X2.Q )
CHK: delay(0 0), type(tSRW), from(X2.AP ), to(X2.AP )
CHK: delay(180 180), type(tSRR), from(X2.AP ), to(X2.C )
CHK: delay(0 0), type(tWLA), from(X2.C ), to(X2.C )
CHK: delay(0 0), type(tWHA), from(X2.C ), to(X2.C )
CHK: delay(200 200), type(tH), from(X2.D ), to(X2.C )
CHK: delay(200 200), type(tS_PT), from(X2.D ), to(X2.C )
MOD: delay(95 95), type(tSRi), from(X3.AP ), to(X3.Q )
MOD: delay(45 45), type(tCOi), from(X3.C ), to(X3.Q )
CHK: delay(0 0), type(tSRW), from(X3.AP ), to(X3.AP )
CHK: delay(180 180), type(tSRR), from(X3.AP ), to(X3.C )
CHK: delay(0 0), type(tWLA), from(X3.C ), to(X3.C )
CHK: delay(0 0), type(tWHA), from(X3.C ), to(X3.C )
CHK: delay(200 200), type(tH), from(X3.D ), to(X3.C )
CHK: delay(200 200), type(tS_PT), from(X3.D ), to(X3.C )
MOD: delay(95 95), type(tSRi), from(X4.AP ), to(X4.Q )
MOD: delay(45 45), type(tCOi), from(X4.C ), to(X4.Q )
CHK: delay(0 0), type(tSRW), from(X4.AP ), to(X4.AP )
CHK: delay(180 180), type(tSRR), from(X4.AP ), to(X4.C )
CHK: delay(0 0), type(tWLA), from(X4.C ), to(X4.C )
CHK: delay(0 0), type(tWHA), from(X4.C ), to(X4.C )
CHK: delay(200 200), type(tH), from(X4.D ), to(X4.C )
CHK: delay(200 200), type(tS_PT), from(X4.D ), to(X4.C )
MOD: delay(95 95), type(tSRi), from(X5.AP ), to(X5.Q )
MOD: delay(45 45), type(tCOi), from(X5.C ), to(X5.Q )
CHK: delay(0 0), type(tSRW), from(X5.AP ), to(X5.AP )
CHK: delay(180 180), type(tSRR), from(X5.AP ), to(X5.C )
CHK: delay(0 0), type(tWLA), from(X5.C ), to(X5.C )
CHK: delay(0 0), type(tWHA), from(X5.C ), to(X5.C )
CHK: delay(200 200), type(tH), from(X5.D ), to(X5.C )
CHK: delay(200 200), type(tS_PT), from(X5.D ), to(X5.C )
MOD: delay(95 95), type(tSRi), from(X6.AP ), to(X6.Q )
MOD: delay(45 45), type(tCOi), from(X6.C ), to(X6.Q )
CHK: delay(0 0), type(tSRW), from(X6.AP ), to(X6.AP )
CHK: delay(180 180), type(tSRR), from(X6.AP ), to(X6.C )
CHK: delay(0 0), type(tWLA), from(X6.C ), to(X6.C )
CHK: delay(0 0), type(tWHA), from(X6.C ), to(X6.C )
CHK: delay(200 200), type(tH), from(X6.D ), to(X6.C )
CHK: delay(200 200), type(tS_PT), from(X6.D ), to(X6.C )
MOD: delay(95 95), type(tSRi), from(X7.AP ), to(X7.Q )
MOD: delay(45 45), type(tCOi), from(X7.C ), to(X7.Q )
CHK: delay(0 0), type(tSRW), from(X7.AP ), to(X7.AP )
CHK: delay(180 180), type(tSRR), from(X7.AP ), to(X7.C )
CHK: delay(0 0), type(tWLA), from(X7.C ), to(X7.C )
CHK: delay(0 0), type(tWHA), from(X7.C ), to(X7.C )
CHK: delay(200 200), type(tH), from(X7.D ), to(X7.C )
CHK: delay(200 200), type(tS_PT), from(X7.D ), to(X7.C )
MOD: delay(95 95), type(tSRi), from(BFC.AP ), to(BFC.Q )
MOD: delay(95 95), type(tSRi), from(BFC.AR ), to(BFC.Q )
MOD: delay(45 45), type(tCOi), from(BFC.C ), to(BFC.Q )
CHK: delay(0 0), type(tSRW), from(BFC.AP ), to(BFC.AP )
CHK: delay(180 180), type(tSRR), from(BFC.AP ), to(BFC.C )
CHK: delay(0 0), type(tSRW), from(BFC.AR ), to(BFC.AR )
CHK: delay(180 180), type(tSRR), from(BFC.AR ), to(BFC.C )
CHK: delay(0 0), type(tWLA), from(BFC.C ), to(BFC.C )
CHK: delay(0 0), type(tWHA), from(BFC.C ), to(BFC.C )
CHK: delay(200 200), type(tH), from(BFC.D ), to(BFC.C )
CHK: delay(200 200), type(tS_PT), from(BFC.D ), to(BFC.C )
MOD: delay(95 95), type(tSRi), from(Q0.AR ), to(Q0.Q )
MOD: delay(45 45), type(tCOi), from(Q0.C ), to(Q0.Q )
CHK: delay(0 0), type(tSRW), from(Q0.AR ), to(Q0.AR )
CHK: delay(180 180), type(tSRR), from(Q0.AR ), to(Q0.C )
CHK: delay(0 0), type(tWLA), from(Q0.C ), to(Q0.C )
CHK: delay(0 0), type(tWHA), from(Q0.C ), to(Q0.C )
CHK: delay(200 200), type(tH), from(Q0.D.X2 ), to(Q0.C )
CHK: delay(200 200), type(tS_PT), from(Q0.D.X2 ), to(Q0.C )
CHK: delay(200 200), type(tH), from(Q0.D.X1 ), to(Q0.C )
CHK: delay(200 200), type(tS_PT), from(Q0.D.X1 ), to(Q0.C )
MOD: delay(95 95), type(tSRi), from(Q1.AR ), to(Q1.Q )
MOD: delay(45 45), type(tCOi), from(Q1.C ), to(Q1.Q )
CHK: delay(0 0), type(tSRW), from(Q1.AR ), to(Q1.AR )
CHK: delay(180 180), type(tSRR), from(Q1.AR ), to(Q1.C )
CHK: delay(0 0), type(tWLA), from(Q1.C ), to(Q1.C )
CHK: delay(0 0), type(tWHA), from(Q1.C ), to(Q1.C )
CHK: delay(200 200), type(tH), from(Q1.D ), to(Q1.C )
CHK: delay(200 200), type(tS_PT), from(Q1.D ), to(Q1.C )
MOD: delay(95 95), type(tSRi), from(Q2.AR ), to(Q2.Q )
MOD: delay(45 45), type(tCOi), from(Q2.C ), to(Q2.Q )
CHK: delay(0 0), type(tSRW), from(Q2.AR ), to(Q2.AR )
CHK: delay(180 180), type(tSRR), from(Q2.AR ), to(Q2.C )
CHK: delay(0 0), type(tWLA), from(Q2.C ), to(Q2.C )
CHK: delay(0 0), type(tWHA), from(Q2.C ), to(Q2.C )
CHK: delay(200 200), type(tH), from(Q2.D.X2 ), to(Q2.C )
CHK: delay(200 200), type(tS_PT), from(Q2.D.X2 ), to(Q2.C )
CHK: delay(200 200), type(tH), from(Q2.D.X1 ), to(Q2.C )
CHK: delay(200 200), type(tS_PT), from(Q2.D.X1 ), to(Q2.C )
MOD: delay(95 95), type(tSRi), from(Q3.AR ), to(Q3.Q )
MOD: delay(45 45), type(tCOi), from(Q3.C ), to(Q3.Q )
CHK: delay(0 0), type(tSRW), from(Q3.AR ), to(Q3.AR )
CHK: delay(180 180), type(tSRR), from(Q3.AR ), to(Q3.C )
CHK: delay(0 0), type(tWLA), from(Q3.C ), to(Q3.C )
CHK: delay(0 0), type(tWHA), from(Q3.C ), to(Q3.C )
CHK: delay(200 200), type(tH), from(Q3.D ), to(Q3.C )
CHK: delay(200 200), type(tS_PT), from(Q3.D ), to(Q3.C )
MOD: delay(95 95), type(tSRi), from(RDIS2a.AR ), to(RDIS2a.Q )
MOD: delay(45 45), type(tCOi), from(RDIS2a.C ), to(RDIS2a.Q )
CHK: delay(0 0), type(tSRW), from(RDIS2a.AR ), to(RDIS2a.AR )
CHK: delay(180 180), type(tSRR), from(RDIS2a.AR ), to(RDIS2a.C )
CHK: delay(0 0), type(tWLA), from(RDIS2a.C ), to(RDIS2a.C )
CHK: delay(0 0), type(tWHA), from(RDIS2a.C ), to(RDIS2a.C )
CHK: delay(200 200), type(tH), from(RDIS2a.D ), to(RDIS2a.C )
CHK: delay(200 200), type(tS_PT), from(RDIS2a.D ), to(RDIS2a.C )
MOD: delay(95 95), type(tSRi), from(RDIS2b.AR ), to(RDIS2b.Q )
MOD: delay(45 45), type(tCOi), from(RDIS2b.C ), to(RDIS2b.Q )
CHK: delay(0 0), type(tSRW), from(RDIS2b.AR ), to(RDIS2b.AR )
CHK: delay(180 180), type(tSRR), from(RDIS2b.AR ), to(RDIS2b.C )
CHK: delay(0 0), type(tWLA), from(RDIS2b.C ), to(RDIS2b.C )
CHK: delay(0 0), type(tWHA), from(RDIS2b.C ), to(RDIS2b.C )
CHK: delay(200 200), type(tH), from(RDIS2b.D ), to(RDIS2b.C )
CHK: delay(200 200), type(tS_PT), from(RDIS2b.D ), to(RDIS2b.C )
MOD: delay(95 95), type(tSRi), from(RDIS2c.AR ), to(RDIS2c.Q )
MOD: delay(45 45), type(tCOi), from(RDIS2c.C ), to(RDIS2c.Q )
CHK: delay(0 0), type(tSRW), from(RDIS2c.AR ), to(RDIS2c.AR )
CHK: delay(180 180), type(tSRR), from(RDIS2c.AR ), to(RDIS2c.C )
CHK: delay(0 0), type(tWLA), from(RDIS2c.C ), to(RDIS2c.C )
CHK: delay(0 0), type(tWHA), from(RDIS2c.C ), to(RDIS2c.C )
CHK: delay(200 200), type(tH), from(RDIS2c.D ), to(RDIS2c.C )
CHK: delay(200 200), type(tS_PT), from(RDIS2c.D ), to(RDIS2c.C )
MOD: delay(95 95), type(tSRi), from(RDIS2d.AR ), to(RDIS2d.Q )
MOD: delay(45 45), type(tCOi), from(RDIS2d.C ), to(RDIS2d.Q )
CHK: delay(0 0), type(tSRW), from(RDIS2d.AR ), to(RDIS2d.AR )
CHK: delay(180 180), type(tSRR), from(RDIS2d.AR ), to(RDIS2d.C )
CHK: delay(0 0), type(tWLA), from(RDIS2d.C ), to(RDIS2d.C )
CHK: delay(0 0), type(tWHA), from(RDIS2d.C ), to(RDIS2d.C )
CHK: delay(200 200), type(tH), from(RDIS2d.D ), to(RDIS2d.C )
CHK: delay(200 200), type(tS_PT), from(RDIS2d.D ), to(RDIS2d.C )
MOD: delay(95 95), type(tSRi), from(RDIS2e.AR ), to(RDIS2e.Q )
MOD: delay(45 45), type(tCOi), from(RDIS2e.C ), to(RDIS2e.Q )
CHK: delay(0 0), type(tSRW), from(RDIS2e.AR ), to(RDIS2e.AR )
CHK: delay(180 180), type(tSRR), from(RDIS2e.AR ), to(RDIS2e.C )
CHK: delay(0 0), type(tWLA), from(RDIS2e.C ), to(RDIS2e.C )
CHK: delay(0 0), type(tWHA), from(RDIS2e.C ), to(RDIS2e.C )
CHK: delay(200 200), type(tH), from(RDIS2e.D ), to(RDIS2e.C )
CHK: delay(200 200), type(tS_PT), from(RDIS2e.D ), to(RDIS2e.C )
MOD: delay(95 95), type(tSRi), from(RDIS2f.AR ), to(RDIS2f.Q )
MOD: delay(45 45), type(tCOi), from(RDIS2f.C ), to(RDIS2f.Q )
CHK: delay(0 0), type(tSRW), from(RDIS2f.AR ), to(RDIS2f.AR )
CHK: delay(180 180), type(tSRR), from(RDIS2f.AR ), to(RDIS2f.C )
CHK: delay(0 0), type(tWLA), from(RDIS2f.C ), to(RDIS2f.C )
CHK: delay(0 0), type(tWHA), from(RDIS2f.C ), to(RDIS2f.C )
CHK: delay(200 200), type(tH), from(RDIS2f.D ), to(RDIS2f.C )
CHK: delay(200 200), type(tS_PT), from(RDIS2f.D ), to(RDIS2f.C )
MOD: delay(95 95), type(tSRi), from(RDIS2g.AR ), to(RDIS2g.Q )
MOD: delay(45 45), type(tCOi), from(RDIS2g.C ), to(RDIS2g.Q )
CHK: delay(0 0), type(tSRW), from(RDIS2g.AR ), to(RDIS2g.AR )
CHK: delay(180 180), type(tSRR), from(RDIS2g.AR ), to(RDIS2g.C )
CHK: delay(0 0), type(tWLA), from(RDIS2g.C ), to(RDIS2g.C )
CHK: delay(0 0), type(tWHA), from(RDIS2g.C ), to(RDIS2g.C )
CHK: delay(200 200), type(tH), from(RDIS2g.D ), to(RDIS2g.C )
CHK: delay(200 200), type(tS_PT), from(RDIS2g.D ), to(RDIS2g.C )
MOD: delay(95 95), type(tSRi), from(RDIS3a.AR ), to(RDIS3a.Q )
MOD: delay(45 45), type(tCOi), from(RDIS3a.C ), to(RDIS3a.Q )
CHK: delay(0 0), type(tSRW), from(RDIS3a.AR ), to(RDIS3a.AR )
CHK: delay(180 180), type(tSRR), from(RDIS3a.AR ), to(RDIS3a.C )
CHK: delay(0 0), type(tWLA), from(RDIS3a.C ), to(RDIS3a.C )
CHK: delay(0 0), type(tWHA), from(RDIS3a.C ), to(RDIS3a.C )
CHK: delay(200 200), type(tH), from(RDIS3a.D ), to(RDIS3a.C )
CHK: delay(200 200), type(tS_PT), from(RDIS3a.D ), to(RDIS3a.C )
MOD: delay(95 95), type(tSRi), from(RDIS3b.AR ), to(RDIS3b.Q )
MOD: delay(45 45), type(tCOi), from(RDIS3b.C ), to(RDIS3b.Q )
CHK: delay(0 0), type(tSRW), from(RDIS3b.AR ), to(RDIS3b.AR )
CHK: delay(180 180), type(tSRR), from(RDIS3b.AR ), to(RDIS3b.C )
CHK: delay(0 0), type(tWLA), from(RDIS3b.C ), to(RDIS3b.C )
CHK: delay(0 0), type(tWHA), from(RDIS3b.C ), to(RDIS3b.C )
CHK: delay(200 200), type(tH), from(RDIS3b.D ), to(RDIS3b.C )
CHK: delay(200 200), type(tS_PT), from(RDIS3b.D ), to(RDIS3b.C )
MOD: delay(95 95), type(tSRi), from(RDIS3c.AR ), to(RDIS3c.Q )
MOD: delay(45 45), type(tCOi), from(RDIS3c.C ), to(RDIS3c.Q )
CHK: delay(0 0), type(tSRW), from(RDIS3c.AR ), to(RDIS3c.AR )
CHK: delay(180 180), type(tSRR), from(RDIS3c.AR ), to(RDIS3c.C )
CHK: delay(0 0), type(tWLA), from(RDIS3c.C ), to(RDIS3c.C )
CHK: delay(0 0), type(tWHA), from(RDIS3c.C ), to(RDIS3c.C )
CHK: delay(200 200), type(tH), from(RDIS3c.D ), to(RDIS3c.C )
CHK: delay(200 200), type(tS_PT), from(RDIS3c.D ), to(RDIS3c.C )
MOD: delay(95 95), type(tSRi), from(RDIS3d.AR ), to(RDIS3d.Q )
MOD: delay(45 45), type(tCOi), from(RDIS3d.C ), to(RDIS3d.Q )
CHK: delay(0 0), type(tSRW), from(RDIS3d.AR ), to(RDIS3d.AR )
CHK: delay(180 180), type(tSRR), from(RDIS3d.AR ), to(RDIS3d.C )
CHK: delay(0 0), type(tWLA), from(RDIS3d.C ), to(RDIS3d.C )
CHK: delay(0 0), type(tWHA), from(RDIS3d.C ), to(RDIS3d.C )
CHK: delay(200 200), type(tH), from(RDIS3d.D ), to(RDIS3d.C )
CHK: delay(200 200), type(tS_PT), from(RDIS3d.D ), to(RDIS3d.C )
MOD: delay(95 95), type(tSRi), from(RDIS3e.AR ), to(RDIS3e.Q )
MOD: delay(45 45), type(tCOi), from(RDIS3e.C ), to(RDIS3e.Q )
CHK: delay(0 0), type(tSRW), from(RDIS3e.AR ), to(RDIS3e.AR )
CHK: delay(180 180), type(tSRR), from(RDIS3e.AR ), to(RDIS3e.C )
CHK: delay(0 0), type(tWLA), from(RDIS3e.C ), to(RDIS3e.C )
CHK: delay(0 0), type(tWHA), from(RDIS3e.C ), to(RDIS3e.C )
CHK: delay(200 200), type(tH), from(RDIS3e.D ), to(RDIS3e.C )
CHK: delay(200 200), type(tS_PT), from(RDIS3e.D ), to(RDIS3e.C )
MOD: delay(95 95), type(tSRi), from(RDIS3f.AR ), to(RDIS3f.Q )
MOD: delay(45 45), type(tCOi), from(RDIS3f.C ), to(RDIS3f.Q )
CHK: delay(0 0), type(tSRW), from(RDIS3f.AR ), to(RDIS3f.AR )
CHK: delay(180 180), type(tSRR), from(RDIS3f.AR ), to(RDIS3f.C )
CHK: delay(0 0), type(tWLA), from(RDIS3f.C ), to(RDIS3f.C )
CHK: delay(0 0), type(tWHA), from(RDIS3f.C ), to(RDIS3f.C )
CHK: delay(200 200), type(tH), from(RDIS3f.D ), to(RDIS3f.C )
CHK: delay(200 200), type(tS_PT), from(RDIS3f.D ), to(RDIS3f.C )
MOD: delay(95 95), type(tSRi), from(RDIS3g.AR ), to(RDIS3g.Q )
MOD: delay(45 45), type(tCOi), from(RDIS3g.C ), to(RDIS3g.Q )
CHK: delay(0 0), type(tSRW), from(RDIS3g.AR ), to(RDIS3g.AR )
CHK: delay(180 180), type(tSRR), from(RDIS3g.AR ), to(RDIS3g.C )
CHK: delay(0 0), type(tWLA), from(RDIS3g.C ), to(RDIS3g.C )
CHK: delay(0 0), type(tWHA), from(RDIS3g.C ), to(RDIS3g.C )
CHK: delay(200 200), type(tH), from(RDIS3g.D ), to(RDIS3g.C )
CHK: delay(200 200), type(tS_PT), from(RDIS3g.D ), to(RDIS3g.C )
MOD: delay(95 95), type(tSRi), from(P0.AR ), to(P0.Q )
MOD: delay(45 45), type(tCOi), from(P0.C ), to(P0.Q )
CHK: delay(0 0), type(tSRW), from(P0.AR ), to(P0.AR )
CHK: delay(180 180), type(tSRR), from(P0.AR ), to(P0.C )
CHK: delay(0 0), type(tWLA), from(P0.C ), to(P0.C )
CHK: delay(0 0), type(tWHA), from(P0.C ), to(P0.C )
CHK: delay(200 200), type(tH), from(P0.D.X2 ), to(P0.C )
CHK: delay(200 200), type(tS_PT), from(P0.D.X2 ), to(P0.C )
CHK: delay(200 200), type(tH), from(P0.D.X1 ), to(P0.C )
CHK: delay(200 200), type(tS_PT), from(P0.D.X1 ), to(P0.C )
MOD: delay(95 95), type(tSRi), from(P1.AR ), to(P1.Q )
MOD: delay(45 45), type(tCOi), from(P1.C ), to(P1.Q )
CHK: delay(0 0), type(tSRW), from(P1.AR ), to(P1.AR )
CHK: delay(180 180), type(tSRR), from(P1.AR ), to(P1.C )
CHK: delay(0 0), type(tWLA), from(P1.C ), to(P1.C )
CHK: delay(0 0), type(tWHA), from(P1.C ), to(P1.C )
CHK: delay(200 200), type(tH), from(P1.D.X2 ), to(P1.C )
CHK: delay(200 200), type(tS_PT), from(P1.D.X2 ), to(P1.C )
CHK: delay(200 200), type(tH), from(P1.D.X1 ), to(P1.C )
CHK: delay(200 200), type(tS_PT), from(P1.D.X1 ), to(P1.C )
MOD: delay(95 95), type(tSRi), from(P2.AR ), to(P2.Q )
MOD: delay(45 45), type(tCOi), from(P2.C ), to(P2.Q )
CHK: delay(0 0), type(tSRW), from(P2.AR ), to(P2.AR )
CHK: delay(180 180), type(tSRR), from(P2.AR ), to(P2.C )
CHK: delay(0 0), type(tWLA), from(P2.C ), to(P2.C )
CHK: delay(0 0), type(tWHA), from(P2.C ), to(P2.C )
CHK: delay(200 200), type(tH), from(P2.D ), to(P2.C )
CHK: delay(200 200), type(tS_PT), from(P2.D ), to(P2.C )
MOD: delay(95 95), type(tSRi), from(P3.AR ), to(P3.Q )
MOD: delay(45 45), type(tCOi), from(P3.C ), to(P3.Q )
CHK: delay(0 0), type(tSRW), from(P3.AR ), to(P3.AR )
CHK: delay(180 180), type(tSRR), from(P3.AR ), to(P3.C )
CHK: delay(0 0), type(tWLA), from(P3.C ), to(P3.C )
CHK: delay(0 0), type(tWHA), from(P3.C ), to(P3.C )
CHK: delay(200 200), type(tH), from(P3.D.X2 ), to(P3.C )
CHK: delay(200 200), type(tS_PT), from(P3.D.X2 ), to(P3.C )
CHK: delay(200 200), type(tH), from(P3.D.X1 ), to(P3.C )
CHK: delay(200 200), type(tS_PT), from(P3.D.X1 ), to(P3.C )
MOD: delay(45 45), type(tPDi), from(_dup_osc_dis ), to(_dup_osc_dis.OUT)
NET: delay(445 445), type(tFBK+tROUTE+tPTCLK), from(timdiv1.Q ), to(timdiv2.C )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(timdiv1.Q ), to(timdiv1.D )
NET: delay(75 75), type(tFBK), from(_dup_osc_dis.OUT), to(I1.TIMERRES)
NET: delay(75 75), type(tFBK), from(osc_dis.OUT), to(I1.DYNOSCDIS)
NET: delay(370 370), type(tROUTE+tPTCLK), from(I1.TIMEROUT), to(timdiv1.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(P3.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(P2.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(P1.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(P0.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS3g.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS3f.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS3e.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS3d.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS3c.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS3b.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS3a.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS2g.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS2f.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS2e.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS2d.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS2c.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS2b.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(RDIS2a.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(X7.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(X6.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(X5.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(X4.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(X3.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(X2.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(X1.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(X0.C )
NET: delay(420 420), type(tFBK+tROUTE+tBLA*11+tMCELL), from(timdiv2.Q ), to(timdiv2.D )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tPTCLK), from(timdiv2.Q ), to(LED16.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS4g.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS4f.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS4e.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS4d.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS4c.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS4b.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tPTCLK), from(timdiv2.Q ), to(DIS4a.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS3g.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS3f.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS3e.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS3d.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS3c.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS3b.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS3a.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS2g.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS2f.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS2e.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS2d.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS2c.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS2b.C )
NET: delay(500 500), type(tFBK+tROUTE+tBLA*11+tBCLK), from(timdiv2.Q ), to(DIS2a.C )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(DIP0.PAD), to(X7.D )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(DIP0.PAD), to(X6.D )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(DIP0.PAD), to(X5.D )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(DIP0.PAD), to(X4.D )
