Timer started ...
MOD: delay(95 95), type(tSRi), from(LED0.AP ), to(LED0.Q )
CHK: delay(200 200), type(tH), from(pc0.D ), to(pc0.C )
CHK: delay(200 200), type(tS_PT), from(pc0.D ), to(pc0.C )
MOD: delay(95 95), type(tSRi), from(ir6.AR ), to(ir6.Q )
MOD: delay(45 45), type(tCOi), from(ir6.C ), to(ir6.Q )
CHK: delay(0 0), type(tSRW), from(ir6.AR ), to(ir6.AR )
CHK: delay(180 180), type(tSRR), from(ir6.AR ), to(ir6.C )
CHK: delay(0 0), type(tWLA), from(ir6.C ), to(ir6.C )
CHK: delay(0 0), type(tWHA), from(ir6.C ), to(ir6.C )
CHK: delay(200 200), type(tH), from(ir6.D ), to(ir6.C )
CHK: delay(200 200), type(tS_PT), from(ir6.D ), to(ir6.C )
MOD: delay(95 95), type(tSRi), from(ir5.AR ), to(ir5.Q )
MOD: delay(45 45), type(tCOi), from(ir5.C ), to(ir5.Q )
CHK: delay(0 0), type(tSRW), from(ir5.AR ), to(ir5.AR )
CHK: delay(180 180), type(tSRR), from(ir5.AR ), to(ir5.C )
CHK: delay(0 0), type(tWLA), from(ir5.C ), to(ir5.C )
CHK: delay(0 0), type(tWHA), from(ir5.C ), to(ir5.C )
CHK: delay(200 200), type(tH), from(ir5.D ), to(ir5.C )
CHK: delay(200 200), type(tS_PT), from(ir5.D ), to(ir5.C )
MOD: delay(95 95), type(tSRi), from(ir4.AR ), to(ir4.Q )
MOD: delay(45 45), type(tCOi), from(ir4.C ), to(ir4.Q )
CHK: delay(0 0), type(tSRW), from(ir4.AR ), to(ir4.AR )
CHK: delay(180 180), type(tSRR), from(ir4.AR ), to(ir4.C )
CHK: delay(0 0), type(tWLA), from(ir4.C ), to(ir4.C )
CHK: delay(0 0), type(tWHA), from(ir4.C ), to(ir4.C )
CHK: delay(200 200), type(tH), from(ir4.D ), to(ir4.C )
CHK: delay(200 200), type(tS_PT), from(ir4.D ), to(ir4.C )
MOD: delay(45 45), type(tPDi), from(ale ), to(ale.OUT)
MOD: delay(45 45), type(tPDi), from(alx ), to(alx.OUT)
MOD: delay(45 45), type(tPDi), from(aly ), to(aly.OUT)
MOD: delay(45 45), type(tPDi), from(alu3 ), to(alu3.OUT)
MOD: delay(45 45), type(tPDi), from(alu2 ), to(alu2.OUT)
MOD: delay(45 45), type(tPDi), from(alu1.X2 ), to(alu1.OUT)
MOD: delay(45 45), type(tPDi), from(alu1.X1 ), to(alu1.OUT)
MOD: delay(45 45), type(tPDi), from(alu0 ), to(alu0.OUT)
MOD: delay(45 45), type(tPDi), from(db3 ), to(db3.OUT)
MOD: delay(45 45), type(tPDi), from(db2 ), to(db2.OUT)
MOD: delay(45 45), type(tPDi), from(db1 ), to(db1.OUT)
MOD: delay(45 45), type(tPDi), from(db0 ), to(db0.OUT)
MOD: delay(45 45), type(tPDi), from(dm6 ), to(dm6.OUT)
MOD: delay(45 45), type(tPDi), from(dm5 ), to(dm5.OUT)
MOD: delay(45 45), type(tPDi), from(dm4 ), to(dm4.OUT)
MOD: delay(45 45), type(tPDi), from(dm3 ), to(dm3.OUT)
MOD: delay(45 45), type(tPDi), from(dm2 ), to(dm2.OUT)
MOD: delay(45 45), type(tPDi), from(dm1 ), to(dm1.OUT)
MOD: delay(45 45), type(tPDi), from(dm0 ), to(dm0.OUT)
MOD: delay(45 45), type(tCOi), from(mar3.C ), to(mar3.Q )
CHK: delay(0 0), type(tWLA), from(mar3.C ), to(mar3.C )
CHK: delay(0 0), type(tWHA), from(mar3.C ), to(mar3.C )
CHK: delay(200 200), type(tH), from(mar3.D ), to(mar3.C )
CHK: delay(200 200), type(tS_PT), from(mar3.D ), to(mar3.C )
MOD: delay(45 45), type(tCOi), from(mar2.C ), to(mar2.Q )
CHK: delay(0 0), type(tWLA), from(mar2.C ), to(mar2.C )
CHK: delay(0 0), type(tWHA), from(mar2.C ), to(mar2.C )
CHK: delay(200 200), type(tH), from(mar2.D ), to(mar2.C )
CHK: delay(200 200), type(tS_PT), from(mar2.D ), to(mar2.C )
MOD: delay(45 45), type(tCOi), from(mar1.C ), to(mar1.Q )
CHK: delay(0 0), type(tWLA), from(mar1.C ), to(mar1.C )
CHK: delay(0 0), type(tWHA), from(mar1.C ), to(mar1.C )
CHK: delay(200 200), type(tH), from(mar1.D ), to(mar1.C )
CHK: delay(200 200), type(tS_PT), from(mar1.D ), to(mar1.C )
MOD: delay(45 45), type(tCOi), from(mar0.C ), to(mar0.Q )
CHK: delay(0 0), type(tWLA), from(mar0.C ), to(mar0.C )
CHK: delay(0 0), type(tWHA), from(mar0.C ), to(mar0.C )
CHK: delay(200 200), type(tH), from(mar0.D ), to(mar0.C )
CHK: delay(200 200), type(tS_PT), from(mar0.D ), to(mar0.C )
MOD: delay(45 45), type(tPDi), from(C3 ), to(C3.OUT)
MOD: delay(45 45), type(tPDi), from(C2 ), to(C2.OUT)
MOD: delay(45 45), type(tPDi), from(C1 ), to(C1.OUT)
MOD: delay(45 45), type(tPDi), from(P3 ), to(P3.OUT)
MOD: delay(45 45), type(tPDi), from(P2 ), to(P2.OUT)
MOD: delay(45 45), type(tPDi), from(P1 ), to(P1.OUT)
NET: delay(515 515), type(tIN+tIOI(LVCMOS18)+tROUTE+tPTSR), from(S1_NO.PAD), to(S1BC.AP )
NET: delay(515 515), type(tIN+tIOI(LVCMOS18)+tROUTE+tPTSR), from(S1_NO.PAD), to(LED28.AR )
NET: delay(515 515), type(tIN+tIOI(LVCMOS18)+tROUTE+tPTSR), from(S1_NC.PAD), to(S1BC.AR )
NET: delay(515 515), type(tIN+tIOI(LVCMOS18)+tROUTE+tPTSR), from(S1_NC.PAD), to(LED28.AP )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(mar0.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(mar1.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(mar2.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(mar3.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(ir4.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(ir5.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(ir6.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(pc0.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(pc1.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(pc2.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(pc3.C )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(S1BC.Q ), to(memclk )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(LED27.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(LED26.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(LED25.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(LED24.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(LED15.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(LED11.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(LED10.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(LED9.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(S1BC.Q ), to(LED8.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(LED7.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(LED6.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(LED5.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(LED4.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(LED3.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(LED2.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(LED1.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(S1BC.Q ), to(LED0.C )
NET: delay(520 520), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tPTSR), from(S2_NO.PAD), to(S2BC.AP )
NET: delay(520 520), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tPTSR), from(S2_NO.PAD), to(LED29.AR )
NET: delay(520 520), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tPTSR), from(S2_NC.PAD), to(S2BC.AR )
NET: delay(520 520), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tPTSR), from(S2_NC.PAD), to(LED29.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tPTSR), from(S2BC.Q ), to(ir4.AR )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tPTSR), from(S2BC.Q ), to(ir5.AR )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tPTSR), from(S2BC.Q ), to(ir6.AR )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(pc0.AR )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(pc1.AR )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(pc2.AR )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(pc3.AR )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(S2BC.Q ), to(memclk )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tPTSR), from(S2BC.Q ), to(LED16.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(LED27.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(LED26.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tPTSR), from(S2BC.Q ), to(LED25.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tPTSR), from(S2BC.Q ), to(LED24.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tPTSR), from(S2BC.Q ), to(LED15.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tPTSR), from(S2BC.Q ), to(LED11.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tPTSR), from(S2BC.Q ), to(LED10.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tPTSR), from(S2BC.Q ), to(LED9.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tPTSR), from(S2BC.Q ), to(LED8.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(LED7.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(LED6.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(LED5.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(LED4.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(LED3.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(LED2.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(LED1.AP )
NET: delay(520 520), type(tFBK+tROUTE+tBLA*7+tBSR), from(S2BC.Q ), to(LED0.AP )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(LED16.Q ), to(ale )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(LED16.Q ), to(ir4.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(LED16.Q ), to(ir5.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(LED16.Q ), to(ir6.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(pc0.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(pc1.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(pc2.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(pc3.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(LED27.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(LED26.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(LED16.Q ), to(LED25.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(LED16.Q ), to(LED24.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(LED16.Q ), to(LED15.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(LED16.Q ), to(LED11.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(LED16.Q ), to(LED10.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(LED16.Q ), to(LED9.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tPTCLK), from(LED16.Q ), to(LED8.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(LED7.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(LED6.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(LED5.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(LED4.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(LED3.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(LED2.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(LED1.C )
NET: delay(480 480), type(tFBK+tROUTE+tBLA*7+tBCLK), from(LED16.Q ), to(LED0.C )
NET: delay(540 540), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tPTCLK), from(DIP7.PAD), to(mar0.C )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(mar0.D )
NET: delay(540 540), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tPTCLK), from(DIP7.PAD), to(mar1.C )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(mar1.D )
NET: delay(540 540), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tPTCLK), from(DIP7.PAD), to(mar2.C )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(mar2.D )
NET: delay(540 540), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tPTCLK), from(DIP7.PAD), to(mar3.C )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(mar3.D )
NET: delay(580 580), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tPTSR), from(DIP7.PAD), to(ir4.AR )
NET: delay(540 540), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tPTCLK), from(DIP7.PAD), to(ir4.C )
NET: delay(580 580), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tPTSR), from(DIP7.PAD), to(ir5.AR )
NET: delay(540 540), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tPTCLK), from(DIP7.PAD), to(ir5.C )
NET: delay(580 580), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tPTSR), from(DIP7.PAD), to(ir6.AR )
NET: delay(540 540), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tPTCLK), from(DIP7.PAD), to(ir6.C )
NET: delay(580 580), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tBSR), from(DIP7.PAD), to(pc0.AR )
NET: delay(540 540), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tBCLK), from(DIP7.PAD), to(pc0.C )
NET: delay(580 580), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tBSR), from(DIP7.PAD), to(pc1.AR )
NET: delay(540 540), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tBCLK), from(DIP7.PAD), to(pc1.C )
NET: delay(580 580), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tBSR), from(DIP7.PAD), to(pc2.AR )
NET: delay(540 540), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tBCLK), from(DIP7.PAD), to(pc2.C )
NET: delay(580 580), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tBSR), from(DIP7.PAD), to(pc3.AR )
NET: delay(540 540), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tBCLK), from(DIP7.PAD), to(pc3.C )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(ab0 )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(ab1 )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(ab2 )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(ab3 )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(memclk )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m13q0.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m13q1.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m13q2.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m13q3.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m13q4.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m13q5.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m13q6.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m12q0.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m12q1.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m12q2.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m12q3.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m12q4.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m12q5.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m12q6.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m11q0.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m11q1.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m11q2.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m11q3.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m11q4.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m11q5.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m11q6.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m10q0.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m10q1.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m10q2.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m10q3.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m10q4.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m10q5.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m10q6.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m9q0.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m9q1.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m9q2.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m9q3.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m9q4.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m9q5.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m9q6.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m8q0.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m8q1.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m8q2.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m8q3.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m8q4.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m8q5.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m8q6.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m7q0.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m7q1.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m7q2.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m7q3.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m7q4.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m7q5.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m7q6.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m6q0.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m6q1.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m6q2.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m6q3.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m6q4.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m6q5.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m6q6.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m5q0.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m5q1.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m5q2.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m5q3.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m5q4.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m5q5.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m5q6.T )
NET: delay(460 460), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*13+tMCELL), from(DIP7.PAD), to(m4q0.T )
